timeStamp,elapsed,label,responseCode,threadName,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1444416142429,720,393 /issues/10_12_15/Debate,200,Thread Group 1-1,TRUE,11533,1,1,718,0,0,ubuntu
1444416143152,11,400 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,11,0,0,ubuntu
1444416143165,51,415 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,48,0,0,ubuntu
1444416143217,185,426 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,185,0,0,ubuntu
1444416141701,1679,Debate,200,Thread Group 1-1,TRUE,60721,1,1,1418,0,0,ubuntu
1444416143403,46,439 /,200,Thread Group 1-1,TRUE,13115,1,1,46,0,0,ubuntu
1444416143453,47,440 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,47,0,0,ubuntu
1444416143501,48,441 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,45,0,0,ubuntu
1444416143551,46,448 /resource/uploads_upfront/Issues/101215/issue.json,200,Thread Group 1-1,TRUE,1105,1,1,46,0,0,ubuntu
1444416143598,186,446 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,186,0,0,ubuntu
1444416143402,373,Sign Out,200,Thread Group 1-1,TRUE,61149,1,1,370,0,0,ubuntu
1444416143785,886,1 /,200,Thread Group 1-1,TRUE,929290,1,1,6,0,0,ubuntu
1444416144674,195,63 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,195,0,0,ubuntu
1444416144869,5,76 /resource/uploads_upfront/Issues/101215/issue.json,200,Thread Group 1-1,TRUE,1105,1,1,5,0,0,ubuntu
1444416143785,1086,Home,200,Thread Group 1-1,TRUE,930972,1,1,206,0,0,ubuntu
1444416144885,12,179 /issues/vIssue,200,Thread Group 1-1,TRUE,9159,1,1,12,0,0,ubuntu
1444416144904,6,180 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,6,0,0,ubuntu
1444416144911,13,182 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,4,0,0,ubuntu
1444416144924,191,185 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,190,0,0,ubuntu
1444416145115,167,188 /scholastic/prod/perf.rnc,204,Thread Group 1-1,TRUE,193,1,1,0,0,0,ubuntu
1444416145282,166,189 /scholastic/prod/TagAuditBeacon.rnc,204,Thread Group 1-1,TRUE,193,1,1,0,0,0,ubuntu
1444416144875,555,Issues ID,200,Thread Group 1-1,TRUE,56474,1,1,212,0,0,ubuntu
1444416145449,1236,155 /Issue-Archive,200,Thread Group 1-1,FALSE,756540,1,1,3,0,0,ubuntu
1444416146685,5,158 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,5,0,0,ubuntu
1444416146691,7,159 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,4,0,0,ubuntu
1444416146698,183,165 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,183,0,0,ubuntu
